month,entry_date,entry_price,exit_date,exit_price,monthly_return_pct,holding_days,equity_curve,cumulative_return_pct,drawdown_pct
2021-02,2021-02-01,15360.0,2021-02-26,15935.0,0.05593525000000027,26,1.0038416646637895,0.3841664663789546,0.0
2021-03,2021-03-02,15907.0,2021-03-31,16422.0,0.0498835500000001,30,1.004342416522503,0.4342416522503001,0.0
2021-04,2021-04-01,16551.0,2021-04-29,17571.0,0.10029390000000021,29,1.0053497107013876,0.5349710701387567,0.0
2021-05,2021-05-03,17253.0,2021-05-31,17013.0,-0.0257132999999998,29,1.0050912021142258,0.5091202114225757,-0.0257133000000076
2021-06,2021-06-01,17130.0,2021-06-30,17715.0,0.05675775000000031,30,1.0056616692659939,0.5661669265993874,0.0
2021-07,2021-07-01,17646.0,2021-07-30,17173.0,-0.04904094999999979,30,1.0051684832296,0.5168483229599952,-0.04904095000000108
2021-08,2021-08-02,17470.0,2021-08-31,17457.0,-0.003046349999999802,30,1.005137862279511,0.5137862279511074,-0.05208580604102453
2021-09,2021-09-01,17476.0,2021-09-30,16917.0,-0.057619649999999814,30,1.0045587053612481,0.4558705361248139,-0.10967544438188481
2021-10,2021-10-01,16517.0,2021-10-29,16945.0,0.04112690000000002,29,1.0049718492154434,0.4971849215443358,-0.06859365049222133
2021-11,2021-11-01,17079.0,2021-11-30,17327.0,0.02307970000000023,30,1.0052037937033267,0.5203793703326687,-0.04552978170097033
2021-12,2021-12-01,17586.0,2021-12-30,18212.0,0.06081010000000024,30,1.0058150591354815,0.5815059135481526,0.0
2022-01,2022-01-03,18273.0,2022-01-26,17625.0,-0.06659490000000005,24,1.0051452376026653,0.5145237602665276,-0.06659490000000545
2022-02,2022-02-07,17899.0,2022-02-25,17606.0,-0.031075249999999867,19,1.0048328862072171,0.4832886207217113,-0.09764945546834047
2022-03,2022-03-01,17911.0,2022-03-31,17639.0,-0.02897749999999978,31,1.0045417107576164,0.4541710757616446,-0.12659865909738777
2022-04,2022-04-01,17554.0,2022-04-29,16583.0,-0.09880684999999975,29,1.0035491547362807,0.3549154736280702,-0.2252804209501913
2022-05,2022-05-03,16470.0,2022-05-31,16682.0,0.019542399999999904,29,1.0037452723262958,0.37452723262958454,-0.20578204615118167
2022-06,2022-06-01,16610.0,2022-06-30,14622.0,-0.20036160000000003,30,1.0017341522387386,0.17341522387386288,-0.4057313379509875
2022-07,2022-07-01,14175.0,2022-07-29,14938.0,0.07484435000000013,29,1.0024838936537097,0.24838936537097123,-0.3311906549336219
