original_date,Time,Symbol,Open,High,Low,Close,Volume,Signal
2018/01/18,2018-01-18,TX,,,,,,0.0
2018/01/18,2018-01-18,TX,-518.0,-518.0,-518.0,-518.0,2.0,0.0
2018/01/18,2018-01-18,TX,-57.0,-57.0,-57.0,-57.0,5.0,0.0
2018/01/18,2018-01-18,TX,,,,,,0.0
2018/01/18,2018-01-18,TX,,,,,,0.0
2018/01/18,2018-01-18,TX,,,,,,0.0
2018/01/18,2018-01-18,TX,,,,,,0.0
2018/01/18,2018-01-18,TX,11063.0,11137.0,11036.0,11054.0,179169.0,0.0
2018/01/18,2018-01-18,TX,10543.0,10621.0,10520.0,10550.0,203.0,0.0
2018/01/18,2018-01-18,TX,10519.0,10569.0,10518.0,10569.0,46.0,0.0
2018/01/18,2018-01-18,TX,10591.0,10661.0,10560.0,10587.0,441.0,0.0
2018/01/18,2018-01-18,TX,10917.0,10963.0,10917.0,10963.0,45.0,0.0
2018/01/18,2018-01-18,TX,10980.0,11062.0,10965.0,10983.0,596.0,0.0
2018/01/18,2018-01-18,TX,10974.0,11039.0,10974.0,11034.0,305.0,0.0
2018/01/18,2018-01-18,TX,11050.0,11124.0,11023.0,11042.0,4651.0,0.0
2018/01/18,2018-01-18,TX,10995.0,11056.0,10992.0,11051.0,15545.0,0.0
2018/01/19,2018-01-19,TX,-13.0,-11.0,-13.0,-11.0,7.0,0.0
2018/01/19,2018-01-19,TX,,,,,,0.0
2018/01/19,2018-01-19,TX,-69.0,-69.0,-70.0,-70.0,146.0,0.0
2018/01/19,2018-01-19,TX,,,,,,0.0
2018/01/19,2018-01-19,TX,-468.0,-468.0,-468.0,-468.0,2.0,0.0
2018/01/19,2018-01-19,TX,,,,,,0.0
2018/01/19,2018-01-19,TX,,,,,,0.0
2018/01/19,2018-01-19,TX,,,,,,0.0
2018/01/19,2018-01-19,TX,,,,,,0.0
2018/01/19,2018-01-19,TX,-56.0,-56.0,-56.0,-56.0,1.0,0.0
2018/01/19,2018-01-19,TX,-399.0,-399.0,-399.0,-399.0,1.0,0.0
2018/01/19,2018-01-19,TX,,,,,,0.0
2018/01/19,2018-01-19,TX,,,,,,0.0
2018/01/19,2018-01-19,TX,,,,,,0.0
2018/01/19,2018-01-19,TX,11096.0,11142.0,11080.0,11139.0,106496.0,0.0
2018/01/19,2018-01-19,TX,11063.0,11097.0,11055.0,11081.0,20198.0,0.0
2018/01/19,2018-01-19,TX,11079.0,11131.0,11070.0,11127.0,1898.0,0.0
2018/01/19,2018-01-19,TX,11058.0,11085.0,11044.0,11068.0,315.0,0.0
2018/01/19,2018-01-19,TX,11030.0,11070.0,11019.0,11070.0,311.0,0.0
2018/01/19,2018-01-19,TX,10988.0,11029.0,10988.0,11015.0,132.0,0.0
2018/01/19,2018-01-19,TX,10617.0,10671.0,10617.0,10671.0,141.0,0.0
2018/01/19,2018-01-19,TX,10601.0,10618.0,10591.0,10612.0,24.0,0.0
2018/01/19,2018-01-19,TX,10573.0,10630.0,10573.0,10627.0,98.0,0.0
2018/01/19,2018-01-19,TX,10555.0,10577.0,10554.0,10577.0,18.0,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,-11.0,-11.0,-11.0,-11.0,1.0,0.0
2018/01/22,2018-01-22,TX,-67.0,-66.0,-68.0,-68.0,60.0,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,-404.0,-404.0,-404.0,-404.0,2.0,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,,,,,,0.0
2018/01/22,2018-01-22,TX,10662.0,10756.0,10653.0,10754.0,580.0,0.0
2018/01/22,2018-01-22,TX,11139.0,11187.0,11137.0,11179.0,23518.0,0.0
2018/01/22,2018-01-22,TX,11136.0,11225.0,11113.0,11222.0,139799.0,0.0
2018/01/22,2018-01-22,TX,10629.0,10680.0,10629.0,10680.0,207.0,0.0
2018/01/22,2018-01-22,TX,10635.0,10722.0,10621.0,10720.0,237.0,0.0
2018/01/22,2018-01-22,TX,10673.0,10717.0,10673.0,10715.0,229.0,0.0
2018/01/22,2018-01-22,TX,11074.0,11118.0,11074.0,11110.0,252.0,0.0
2018/01/22,2018-01-22,TX,11076.0,11157.0,11050.0,11156.0,399.0,0.0
2018/01/22,2018-01-22,TX,11130.0,11173.0,11127.0,11167.0,654.0,0.0
2018/01/22,2018-01-22,TX,11131.0,11212.0,11103.0,11211.0,2662.0,0.0
2018/01/23,2018-01-23,TX,-11.0,-11.0,-12.0,-12.0,13.0,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,-66.0,-65.0,-66.0,-65.0,159.0,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,,,,,,0.0
2018/01/23,2018-01-23,TX,11210.0,11248.0,11196.0,11248.0,16836.0,0.0
